"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"637","일반음식점","07_24_04_P","4070000","4070000-101-2023-00264","2023-10-10","","03","폐업","02","폐업","2023-10-22","","","","","25.00","467-871","경기도 이천시 모가면 어농리 871-3","경기도 이천시 모가면 공원로 48, 하늘마당","17406","코스트커피 쇼룸","2023-10-23 04:15:08","U","2023-10-25 02:40:00","기타","239413.732802845","408511.583943071","기타","0","0","","","","0","0","0","0","0","","0","0","N","25","","","",
"638","일반음식점","07_24_04_P","4070000","4070000-101-2023-00263","2023-10-10","","03","폐업","02","폐업","2023-10-22","","","","","25.00","467-871","경기도 이천시 모가면 어농리 871-3","경기도 이천시 모가면 공원로 48, 먹거리마당","17406","중리동 새마을 협의회","2023-10-23 04:15:08","U","2023-10-25 02:40:00","한식","239413.732802845","408511.583943071","한식","0","0","","","","0","0","0","0","0","","0","0","N","25","","","",
"639","일반음식점","07_24_04_P","4420000","4420000-101-2023-00031","2023-10-10","","03","폐업","02","폐업","2023-10-22","","","","","","376-801","충청북도 보은군 보은읍 삼산리 1-1","","","배영숙 산야초밥상(2023년 대추축제)","2023-10-23 04:15:09","U","2023-10-25 02:40:00","한식","264650.385441842","331710.147203258","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"640","일반음식점","07_24_04_P","4420000","4420000-101-2023-00030","2023-10-10","","03","폐업","02","폐업","2023-10-22","","","","","","376-801","충청북도 보은군 보은읍 삼산리 1-1","","","유진푸드(2023년 대추축제)","2023-10-23 04:15:09","U","2023-10-25 02:40:00","기타","264650.385441842","331710.147203258","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"641","일반음식점","07_24_04_P","4050000","5640000-101-2023-00246","2023-11-14","","03","폐업","02","폐업","2023-11-23","","","","","0.00","448-702","경기도 용인시 수지구 죽전동 1285 (주)신세계백화점경기점","경기도 용인시 수지구 포은대로 536 (주)신세계백화점경기점 지하2층 일부호 (죽전동)","16896","금덕푸드","2023-11-24 04:15:10","U","2023-11-26 02:40:00","기타","209514.367988403","424782.528523847","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"642","일반음식점","07_24_04_P","3630000","3630000-101-2023-00429","2023-11-14","","03","폐업","02","폐업","2024-08-05","","","","","65.00","506-812","광주광역시 광산구 우산동 893-4 주건축물제2동 1층","광주광역시 광산구 사암로92번길 136-5, 주건축물제2동 1층 (우산동)","62375","미덕","2024-08-05 09:29:55","U","2024-08-07 02:40:00","한식","183055.723337385","183644.235973954","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","65","","","",
"643","일반음식점","07_24_04_P","4181000","4181000-101-2023-00370","2023-11-14","","03","폐업","02","폐업","2023-12-28","","","","","30.00","","강원특별자치도 춘천시 동면 만천리 437-1","강원특별자치도 춘천시 동면 만천로 28-84, 1층","24213","올데이스테이","2023-12-28 16:17:49","U","2023-12-30 02:40:00","경양식","","","경양식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","30","","","",
"644","일반음식점","07_24_04_P","3670000","3670000-101-2023-00552","2023-10-16","","03","폐업","02","폐업","2024-04-23","","","","","76.84","305-328","대전광역시 유성구 죽동 706-2","대전광역시 유성구 죽동로297번길 85-6, 지상1층 101호 (죽동)","34127","미미카츠 유성점","2024-04-23 13:00:50","U","2024-04-25 02:40:00","경양식","230309.224369234","318760.420748577","경양식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","76.84","","","",
"645","일반음식점","07_24_04_P","3670000","3670000-101-2023-00548","2023-10-16","","03","폐업","02","폐업","2023-11-20","","","","","","305-315","대전광역시 유성구 원신흥동 497-10","대전광역시 유성구 원신흥로55번길 53-10, 지상1층 (원신흥동)","34193","씨드홀","2023-11-20 11:43:21","U","2023-11-22 02:40:00","기타","230739.257841814","315581.269624189","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"646","일반음식점","07_24_04_P","3670000","3670000-101-2023-00546","2023-10-16","","03","폐업","02","폐업","2023-11-07","","","","","","305-340","대전광역시 유성구 도룡동 3-1","대전광역시 유성구 엑스포로 1, 신세계엑스포점 지하1층 A99-18호 (도룡동)","34126","해신","2023-11-08 04:15:09","U","2023-11-10 02:40:00","기타","234414.00794623","319679.535632277","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"647","일반음식점","07_24_04_P","5020000","5040000-101-2023-00238","2023-10-16","","03","폐업","02","폐업","2024-06-18","","","","054 2531002","95.04","791-270","경상북도 포항시 북구 양덕동 1758 102호","경상북도 포항시 북구 양덕로44번길 8, 102호 (양덕동)","37592","영희네 대패삼겹살","2024-06-18 15:34:50","U","2024-06-20 02:40:00","한식","416370.073457505","289549.919409314","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","95.04","","","",
"648","일반음식점","07_24_04_P","4490000","5660000-101-2023-00495","2023-10-16","","03","폐업","02","폐업","2024-11-18","","","","","15.75","331-978","충청남도 천안시 서북구 성정동 1390 리치프라자2","충청남도 천안시 서북구 성정공원5로 63, 리치프라자2 2층 203일부호 (성정동)","31110","빠스타파스타","2024-11-18 17:40:25","U","2024-11-20 02:40:00","경양식","212826.005479782","369615.136455255","경양식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","15.75","","","",
"649","일반음식점","07_24_04_P","3470000","3470000-101-2023-00435","2023-09-20","","03","폐업","02","폐업","2023-10-06","","","","","66.20","704-827","대구광역시 달서구 송현동 798-71","대구광역시 달서구 월배로72길 31, 1층 (송현동)","42822","미가촌식당","2023-10-06 10:10:44","U","2023-10-08 02:40:00","한식","339973.699927983","259522.152067147","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","66.2","","","",
